City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,whitehorse,60.7161,-135.0538,-19.43,76,20,3.44,CA,1734573407
1,port-aux-francais,-49.35,70.2167,40.57,82,97,35.41,TF,1734573422
2,avarua,-21.2078,-159.775,80.65,94,100,6.91,CK,1734573424
3,puerto natales,-51.7236,-72.4875,40.05,94,99,19.39,CL,1734573425
4,blackmans bay,-43.0167,147.3167,68.52,58,6,7.47,AU,1734573426
5,iqaluit,63.7506,-68.5145,-16.87,63,40,8.05,CA,1734573427
6,saint-joseph,-21.3667,55.6167,73.78,76,40,9.06,RE,1734573428
7,talnakh,69.4865,88.3972,7.63,93,100,10.56,RU,1734573429
8,edinburgh of the seven seas,-37.0676,-12.3116,57.4,67,100,21.81,SH,1734573432
9,grytviken,-54.2811,-36.5092,31.75,97,100,3.58,GS,1734573433
10,laojunmiao,39.8333,97.7333,17.31,45,0,6.44,CN,1734573434
11,darwin,-12.4611,130.8418,83.95,75,0,8.05,AU,1734573275
12,adamstown,-25.066,-130.1015,70.63,63,8,12.03,PN,1734573437
13,longyearbyen,78.2186,15.6401,17.44,57,75,9.22,SJ,1734573438
14,ancud,-41.8697,-73.8203,49.53,73,96,3.47,CL,1734573424
15,bargaal,11.2864,51.0773,69.4,65,1,9.51,SO,1734573440
16,bredasdorp,-34.5322,20.0403,57.9,81,6,3.49,ZA,1734573441
17,talara,-4.5772,-81.2719,68.76,77,0,11.5,PE,1734573442
18,colonia,50.9333,6.95,57.96,81,40,17.27,DE,1734573443
19,susuman,62.7833,148.1667,-9.2,96,100,3.09,RU,1734573445
20,hermanus,-34.4187,19.2345,56.8,80,16,8.86,ZA,1734573446
21,sydney mines,46.2367,-60.2177,36.77,88,75,5.75,CA,1734573447
22,vihari,30.0333,72.35,51.15,29,0,3.27,PK,1734573448
23,touros,-5.1989,-35.4608,78.93,82,6,12.19,BR,1734573449
24,paka,4.6374,103.4368,80.53,78,40,4.61,MY,1734573450
25,bilibino,68.0546,166.4372,-21.26,93,13,3.76,RU,1734573452
26,waitangi,-43.9535,-176.5597,57.81,99,100,11.99,NZ,1734573453
27,nemuro,43.3236,145.575,30.9,67,16,12.97,JP,1734573454
28,thompson,55.7435,-97.8558,-18.24,83,40,4.61,CA,1734573456
29,west island,-12.1568,96.8225,80.58,94,100,14.97,CC,1734573457
30,otelu rosu,45.5333,22.3667,41.54,76,53,2.57,RO,1734573253
31,qarazhal,48.0078,70.7903,24.44,82,100,22.86,KZ,1734573459
32,tiksi,71.6872,128.8694,-15.88,99,42,6.8,RU,1734573460
33,sergeyevka,53.88,67.4158,28.56,92,100,17.72,KZ,1734573462
34,machico,32.7,-16.7667,70.0,66,20,10.36,PT,1734573463
35,amungan,15.3652,119.9582,83.39,58,100,4.97,PH,1734573464
36,ilulissat,69.2167,-51.1,17.62,86,100,14.97,GL,1734573465
37,vadso,70.0744,29.7487,6.96,85,100,10.36,NO,1734573467
38,olonkinbyen,70.9221,-8.7187,25.74,63,33,10.85,SJ,1734573468
